historia,escena,herramienta_recomendada,score_promedio,output_recomendado,modelo_version,notas
H1,S01,ideogram,4.67,H1_S01_ideogram_v04.jpeg,Auto (3.0),
H1,S08,chatgpt,4.17,H1_S08_chatgpt_v01.png,Ultimo modelo ChatGPT,
H2,S01,ideogram,4.0,H2_S01_ideogram_v04.jpeg,Auto (3.0),
H2,S08,ideogram,3.67,H2_S08_ideogram_v02.jpeg,Auto (3.0),Cambio el estilo de los personajes
H3,S01,leonardo,4.17,H3_S01_leonardo_phoenix_v02.jpg,Phoenix 1.0,
H3,S07,leonardo,4.17,H3_S07_leonardo_phoenix_v01.jpg,Phoenix 1.0,
