historia,escena,herramienta,modelo,prompt_version,configuracion_base,archivo_final,observaciones
H3 El Mapa del Viento,S01,Leonardo,Phoenix 1.0,H3_bloques_leonardo_v3,Prompt Enhance Off; Contrast Medium; Fast; Style Illustration; Ratio 16:9; 4 images; Negative On; Fixed Seed 3303,H3_S01_final.jpg,Storyboard final construido con Leonardo; consistencia parcial en personaje/estilo.
H3 El Mapa del Viento,S02,Leonardo,Phoenix 1.0,H3_bloques_leonardo_v3,Prompt Enhance Off; Contrast Medium; Fast; Style Illustration; Ratio 16:9; 4 images; Negative On; Fixed Seed 3303,H3_S02_final.jpg,Storyboard final construido con Leonardo; consistencia parcial en personaje/estilo.
H3 El Mapa del Viento,S03,Leonardo,Phoenix 1.0,H3_bloques_leonardo_v3,Prompt Enhance Off; Contrast Medium; Fast; Style Illustration; Ratio 16:9; 4 images; Negative On; Fixed Seed 3303,H3_S03_final.jpg,Storyboard final construido con Leonardo; consistencia parcial en personaje/estilo.
H3 El Mapa del Viento,S04,Leonardo,Phoenix 1.0,H3_bloques_leonardo_v3,Prompt Enhance Off; Contrast Medium; Fast; Style Illustration; Ratio 16:9; 4 images; Negative On; Fixed Seed 3303,H3_S04_final.jpg,Storyboard final construido con Leonardo; consistencia parcial en personaje/estilo.
H3 El Mapa del Viento,S05,Leonardo,Phoenix 1.0,H3_bloques_leonardo_v3,Prompt Enhance Off; Contrast Medium; Fast; Style Illustration; Ratio 16:9; 4 images; Negative On; Fixed Seed 3303,H3_S05_final.jpg,Storyboard final construido con Leonardo; consistencia parcial en personaje/estilo.
H3 El Mapa del Viento,S06,Leonardo,Phoenix 1.0,H3_bloques_leonardo_v3,Prompt Enhance Off; Contrast Medium; Fast; Style Illustration; Ratio 16:9; 4 images; Negative On; Fixed Seed 3303,H3_S06_final.jpg,Storyboard final construido con Leonardo; consistencia parcial en personaje/estilo.
H3 El Mapa del Viento,S07,Leonardo,Phoenix 1.0,H3_bloques_leonardo_v3,Prompt Enhance Off; Contrast Medium; Fast; Style Illustration; Ratio 16:9; 4 images; Negative On; Fixed Seed 3303,H3_S07_final.jpg,Storyboard final construido con Leonardo; consistencia parcial en personaje/estilo.
H3 El Mapa del Viento,S08,Leonardo,Phoenix 1.0,H3_bloques_leonardo_v3,Prompt Enhance Off; Contrast Medium; Fast; Style Illustration; Ratio 16:9; 4 images; Negative On; Fixed Seed 3303,H3_S08_final.jpg,Storyboard final construido con Leonardo; consistencia parcial en personaje/estilo.
